Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR14514222_1	0.22310295551237155	0.5417324449543037
SRR14514222_2	0.38811548965322695	1.4171206095260382
SRR14514223_1	0.0	0.0
SRR14514223_2	0.1605490878940543	0.2188809496317221
SRR14514224_1	0.294923085923267	1.4985669049366963
SRR14514224_2	0.3718983956470266	2.910775615027516
SRR14514225_1	0.0	0.0
SRR14514225_2	0.1255212515603303	0.23007102689773676
SRR14514226_1	0.0	0.0
SRR14514226_2	0.39894186604318677	1.268493688023085
SRR14514227_1	0.0	0.0
SRR14514227_2	0.3141354114563665	0.8411458434425326
SRR14514228_1	0.0	0.0
SRR14514228_2	0.41878881857621547	1.2976761684672593
SRR14514229_1	0.0	0.0
SRR14514229_2	0.22384844511133326	0.7739972685648847
SRR14514230_1	0.0	0.0
SRR14514230_2	0.34025544729795476	1.960830047542466
SRR14514231_1	0.0	0.0
SRR14514231_2	0.148089911644746	0.2549650642389403
SRR14514232_1	0.0	0.0
SRR14514232_2	0.27229235282968073	1.1230165532643699
SRR14514233_1	0.0	0.0
SRR14514233_2	0.14565917894088984	0.22122733559182187
SRR14514234_1	0.0	0.0
SRR14514234_2	0.23797882825097588	0.5520118069761297
SRR14514235_1	0.0	0.0
SRR14514235_2	0.30913378215509607	1.3406183112636898
SRR14514236_1	0.0	0.0
SRR14514236_2	0.27283646482743357	0.5899155083201675
SRR14514237_1	0.0	0.0
SRR14514237_2	0.22914550473349082	0.1306323350380033
SRR14514238_1	0.0	0.0
SRR14514238_2	0.2496758777546566	0.0
SRR14514239_1	0.0	0.0
SRR14514239_2	0.16255401359895338	0.4962421348819772
SRR14514240_1	0.0	0.0
SRR14514240_2	0.11913931162954089	0.2153423804653431
SRR14514241_1	0.0	0.0
SRR14514241_2	0.19080918456163398	0.791270619113807
