Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR14514205_1	27.21051787013849	43.0	96.04886213480489	100	18.181818181818183	38437330.0
SRR14514205_2	42.65093962776657	43.0	96.00212782729706	100	18.181818181818183	38437330.0
SRR14514206_1	24.1593088104579	43.0	97.89223581981743	100	18.181818181818183	20279076.0
SRR14514206_2	43.82995141908922	43.0	97.55832632611072	100	9.090909090909092	20279076.0
SRR14514207_1	23.486717321540027	42.0	97.4056679544121	100	18.181818181818183	37378247.0
SRR14514207_2	41.224970285158314	42.0	97.27614475874162	100	9.090909090909092	37378247.0
SRR14514208_1	19.231635103237394	42.0	98.18029237734399	100	9.090909090909092	25436239.0
SRR14514208_2	39.39139424591641	42.0	97.91351630246909	100	9.090909090909092	25436239.0
SRR14514209_1	22.929323162850963	43.0	97.50247538783479	100	18.181818181818183	31630801.0
SRR14514209_2	41.9579633136762	43.0	97.10068758612847	100	9.090909090909092	31630801.0
SRR14514210_1	16.340399032365866	41.0	97.7075599017536	100	9.090909090909092	25035828.0
SRR14514210_2	34.269255077747616	41.0	97.55146831972164	100	9.090909090909092	25035828.0
SRR14514211_1	14.806269670190218	42.0	97.5576529098153	100	9.090909090909092	22971269.0
SRR14514211_2	31.318586290743752	42.0	97.3634620708155	100	9.090909090909092	22971269.0
SRR14514212_1	20.30529261133212	42.0	97.17761515326605	100	18.181818181818183	37800643.0
SRR14514212_2	39.40394259914191	42.0	97.07468780359106	100	9.090909090909092	37800643.0
SRR14514213_1	14.535570017755902	42.0	98.02953198816806	100	9.090909090909092	18087641.0
SRR14514213_2	30.393400271787414	42.0	97.76857358015896	100	9.090909090909092	18087641.0
SRR14514214_1	13.795299469470692	41.0	97.36541530820519	100	9.090909090909092	20321089.0
SRR14514214_2	36.4862597464007	41.0	97.18659506879774	100	9.090909090909092	20321089.0
SRR14514215_1	17.682207676365607	42.0	96.93254550429404	100	9.090909090909092	41718865.0
SRR14514215_2	36.22394926339139	42.0	96.7449004664916	100	9.090909090909092	41718865.0
SRR14514216_1	14.269081466079285	39.0	97.32525396634539	100	9.090909090909092	27885683.0
