Sample	Unique Reads	Duplicate Reads
SRR14514306_1	17731999.0	8437533.0
SRR14514306_2	14345545.0	11823987.0
SRR14514307_1	27637224.0	11589106.0
SRR14514307_2	20257160.0	18969170.0
SRR14514308_1	8901308.0	3212431.0
SRR14514308_2	7099050.0	5014689.0
SRR14514309_1	13315457.0	5949776.0
SRR14514309_2	9723116.0	9542117.0
SRR14514310_1	19041361.0	8126573.0
SRR14514310_2	14701288.0	12466646.0
SRR14514311_1	15870994.0	6178065.0
SRR14514311_2	11310379.0	10738680.0
SRR14514312_1	17709781.0	7727096.0
SRR14514312_2	12781861.0	12655016.0
SRR14514313_1	16977539.0	8324263.0
SRR14514313_2	12658934.0	12642868.0
