Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR14514193_1	SRR14514193_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32896435.0	3.2 Gbp	0.0	36-100	42.0	80.01457027296688	97.3261852842109	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514193_2	SRR14514193_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32896435.0	3.1 Gbp	0.0	36-100	42.0	62.57567503193402	97.05068856245366	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514194_1	SRR14514194_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23848090.0	2.3 Gbp	0.0	36-100	42.0	81.12087597608392	97.80704777615314	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514194_2	SRR14514194_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23848090.0	2.3 Gbp	0.0	36-100	42.0	63.22141678341535	97.62875307833878	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514195_1	SRR14514195_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21082745.0	2 Gbp	0.0	36-100	44.0	81.15843427104842	98.00054935920346	100	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
SRR14514195_2	SRR14514195_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21082745.0	2 Gbp	0.0	36-100	43.0	61.066761591283836	97.71935096686887	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR14514196_1	SRR14514196_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6815161.0	650.2 Mbp	0.0	36-100	42.0	85.32260098020741	95.32681179505518	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514196_2	SRR14514196_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6815161.0	649.5 Mbp	0.0	36-100	42.0	72.7696472382774	95.22629267305643	100	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR14514197_1	SRR14514197_1.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23749225.0	2.3 Gbp	0.0	36-100	43.0	86.68793928121677	97.15199405454283	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR14514197_2	SRR14514197_2.trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23749225.0	2.3 Gbp	0.0	36-100	43.0	67.49940939586978	96.88951458416011	100	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
